topic,indicator,display
civic_life,satisfied_with_area,Satisfied with area
civic_life,good_place_to_raise_kids,Area is good to raise kids
civic_life,youth_have_positive_role_models,Local youth have positive role models
civic_life,local_govt_is_responsive,Local government is responsive
civic_life,safe_to_walk_at_night,Feel safe walking at night
civic_life,have_some_influence_over_local_govt,Have some influence over local government
civic_life,trust_neighbors,Trust neighbors
financial_security,food_insecurity,Food insecure in past year
financial_security,no_bank_account,No bank account
financial_security,financial_insecurity,Just getting by financially
walkability,locations_in_walking_dist,"Stores, banks, etc. are in walking distance"
walkability,safe_sidewalks,Safe sidewalks in area
walkability,safe_biking,Safe places to bike in area
walkability,local_rec_facilities,Local recreational facilities available
