indicator,level,name,age,race,large_sample,response,value
satisfied_with_area,state,Connecticut,Total,Total,TRUE,Yes,0.84
satisfied_with_area,region,6 wealthiest Fairfield County,Total,Total,TRUE,Yes,0.94
satisfied_with_area,region,Backus Hospital HSA,Total,Total,TRUE,Yes,0.79
satisfied_with_area,region,Backus Hospital HSA other towns,Total,Total,TRUE,Yes,0.81
satisfied_with_area,region,Capitol Region COG,Total,Total,TRUE,Yes,0.84
satisfied_with_area,region,Charlotte Hungerford HSA,Total,Total,TRUE,Yes,0.85
satisfied_with_area,region,Charlotte Hungerford HSA other towns,Total,Total,TRUE,Yes,0.92
satisfied_with_area,region,Connecticut Metro COG,Total,Total,TRUE,Yes,0.79
satisfied_with_area,region,Eastern Connecticut Health Network,Total,Total,TRUE,Yes,0.86
satisfied_with_area,region,Eastern Connecticut Health Network other towns,Total,Total,TRUE,Yes,0.9
satisfied_with_area,region,Eastern cities,Total,Total,TRUE,Yes,0.79
satisfied_with_area,region,Greater Bridgeport,Total,Total,TRUE,Yes,0.79
satisfied_with_area,region,Greater Danbury,Total,Total,TRUE,Yes,0.89
satisfied_with_area,region,Greater Danbury other towns,Total,Total,TRUE,Yes,0.9
satisfied_with_area,region,Greater Hartford,Total,Total,TRUE,Yes,0.84
satisfied_with_area,region,Greater New Haven,Total,Total,TRUE,Yes,0.84
satisfied_with_area,region,Greater Norwalk,Total,Total,TRUE,Yes,0.89
satisfied_with_area,region,Greater Norwalk other towns,Total,Total,TRUE,Yes,0.93
satisfied_with_area,region,Greater Waterbury,Total,Total,TRUE,Yes,0.79
satisfied_with_area,region,Hartford Foundation,Total,Total,TRUE,Yes,0.85
satisfied_with_area,region,Hartford Foundation other towns,Total,Total,TRUE,Yes,0.87
satisfied_with_area,region,Hartford Hospital HSA,Total,Total,TRUE,Yes,0.82
satisfied_with_area,region,Hartford Hospital HSA other towns,Total,Total,TRUE,Yes,0.85
satisfied_with_area,region,Hartford Inner Ring,Total,Total,TRUE,Yes,0.85
satisfied_with_area,region,Hartford Outer Ring,Total,Total,TRUE,Yes,0.9
satisfied_with_area,region,Health Improvement Collaborative of Southeastern Connecticut area,Total,Total,TRUE,Yes,0.85
satisfied_with_area,region,Health Improvement Collaborative of Southeastern Connecticut area other towns,Total,Total,TRUE,Yes,0.86
satisfied_with_area,region,Hospital of Central Connecticut HSA,Total,Total,TRUE,Yes,0.81
satisfied_with_area,region,Hospital of Central Connecticut HSA other towns,Total,Total,TRUE,Yes,0.83
satisfied_with_area,region,Lower Connecticut River Valley COG,Total,Total,TRUE,Yes,0.88
satisfied_with_area,region,Lower Naugatuck Valley,Total,Total,TRUE,Yes,0.84
satisfied_with_area,region,MidState Medical Center HSA,Total,Total,TRUE,Yes,0.81
satisfied_with_area,region,MidState Medical Center HSA other towns,Total,Total,TRUE,Yes,0.89
satisfied_with_area,region,Natchaug Hospital HSA,Total,Total,TRUE,Yes,0.86
satisfied_with_area,region,Natchaug Hospital HSA other towns,Total,Total,TRUE,Yes,0.88
satisfied_with_area,region,Naugatuck Valley COG,Total,Total,TRUE,Yes,0.79
satisfied_with_area,region,New Haven Inner Ring,Total,Total,TRUE,Yes,0.8
satisfied_with_area,region,New Haven Outer Ring,Total,Total,TRUE,Yes,0.92
satisfied_with_area,region,North Central DMHAS,Total,Total,TRUE,Yes,0.84
satisfied_with_area,region,Northeastern Connecticut COG,Total,Total,TRUE,Yes,0.84
satisfied_with_area,region,Northwest Hills COG,Total,Total,TRUE,Yes,0.85
