indicator,level,name,age,race,large_sample,response,value
self_rated_health,state,Connecticut,Total,Total,TRUE,Excellent / very good,0.59
self_rated_health,state,Connecticut,Total,White,TRUE,Excellent / very good,0.62
self_rated_health,state,Connecticut,Total,Black,TRUE,Excellent / very good,0.51
self_rated_health,state,Connecticut,Total,Latino,TRUE,Excellent / very good,0.54
self_rated_health,state,Connecticut,Total,Asian,TRUE,Excellent / very good,0.66
self_rated_health,state,Connecticut,Total,Native American,TRUE,Excellent / very good,0.5
self_rated_health,state,Connecticut,Total,Native Hawaiian or other Pacific Islander,TRUE,Excellent / very good,0.58
self_rated_health,puma,0900100,Total,Total,TRUE,Excellent / very good,0.63
self_rated_health,puma,0900100,Total,White,TRUE,Excellent / very good,0.66
self_rated_health,puma,0900100,Total,Black,TRUE,Excellent / very good,0.49
self_rated_health,puma,0900100,Total,Latino,TRUE,Excellent / very good,0.5
self_rated_health,puma,0900100,Total,Asian,TRUE,Excellent / very good,0.65
self_rated_health,puma,0900100,Total,Native American,FALSE,Excellent / very good,0.76
self_rated_health,puma,0900100,Total,Native Hawaiian or other Pacific Islander,FALSE,Excellent / very good,0.86
self_rated_health,puma,0900101,Total,Total,TRUE,Excellent / very good,0.74
self_rated_health,puma,0900101,Total,White,TRUE,Excellent / very good,0.75
self_rated_health,puma,0900101,Total,Black,FALSE,Excellent / very good,0.63
self_rated_health,puma,0900101,Total,Latino,TRUE,Excellent / very good,0.69
self_rated_health,puma,0900101,Total,Asian,FALSE,Excellent / very good,0.76
self_rated_health,puma,0900101,Total,Native American,FALSE,Excellent / very good,1
self_rated_health,puma,0900101,Total,Native Hawaiian or other Pacific Islander,FALSE,Excellent / very good,1
self_rated_health,puma,0900102,Total,Total,TRUE,Excellent / very good,0.67
self_rated_health,puma,0900102,Total,White,TRUE,Excellent / very good,0.7
self_rated_health,puma,0900102,Total,Black,TRUE,Excellent / very good,0.57
self_rated_health,puma,0900102,Total,Latino,TRUE,Excellent / very good,0.63
self_rated_health,puma,0900102,Total,Asian,TRUE,Excellent / very good,0.72
self_rated_health,puma,0900102,Total,Native American,FALSE,Excellent / very good,0.64
self_rated_health,puma,0900102,Total,Native Hawaiian or other Pacific Islander,FALSE,Excellent / very good,0.45
self_rated_health,puma,0900103,Total,Total,TRUE,Excellent / very good,0.66
self_rated_health,puma,0900103,Total,White,TRUE,Excellent / very good,0.7
self_rated_health,puma,0900103,Total,Black,TRUE,Excellent / very good,0.54
self_rated_health,puma,0900103,Total,Latino,TRUE,Excellent / very good,0.56
self_rated_health,puma,0900103,Total,Asian,TRUE,Excellent / very good,0.52
self_rated_health,puma,0900103,Total,Native American,FALSE,Excellent / very good,0.45
self_rated_health,puma,0900103,Total,Native Hawaiian or other Pacific Islander,FALSE,Excellent / very good,0.33
self_rated_health,puma,0900105,Total,Total,TRUE,Excellent / very good,0.62
self_rated_health,puma,0900105,Total,White,TRUE,Excellent / very good,0.64
self_rated_health,puma,0900105,Total,Black,TRUE,Excellent / very good,0.47
self_rated_health,puma,0900105,Total,Latino,TRUE,Excellent / very good,0.53
self_rated_health,puma,0900105,Total,Asian,TRUE,Excellent / very good,0.69
self_rated_health,puma,0900105,Total,Native American,FALSE,Excellent / very good,0.53
self_rated_health,puma,0900105,Total,Native Hawaiian or other Pacific Islander,FALSE,Excellent / very good,0.57
self_rated_health,puma,0900300,Total,Total,TRUE,Excellent / very good,0.6
self_rated_health,puma,0900300,Total,White,TRUE,Excellent / very good,0.59
self_rated_health,puma,0900300,Total,Black,TRUE,Excellent / very good,0.53
self_rated_health,puma,0900300,Total,Latino,TRUE,Excellent / very good,0.65
self_rated_health,puma,0900300,Total,Asian,FALSE,Excellent / very good,0.67
self_rated_health,puma,0900300,Total,Native American,FALSE,Excellent / very good,0.53
self_rated_health,puma,0900300,Total,Native Hawaiian or other Pacific Islander,FALSE,Excellent / very good,0.85
self_rated_health,puma,0900301,Total,Total,TRUE,Excellent / very good,0.55
