indicator,level,name,age,race,large_sample,response,value
locations_in_walking_dist,state,Connecticut,Total,Total,TRUE,Agree,0.55
locations_in_walking_dist,state,Connecticut,Total,White,TRUE,Agree,0.49
locations_in_walking_dist,state,Connecticut,Total,Black,TRUE,Agree,0.73
locations_in_walking_dist,state,Connecticut,Total,Latino,TRUE,Agree,0.72
locations_in_walking_dist,state,Connecticut,Total,Asian,TRUE,Agree,0.6
locations_in_walking_dist,state,Connecticut,Total,Native American,TRUE,Agree,0.54
locations_in_walking_dist,state,Connecticut,Total,Native Hawaiian or other Pacific Islander,TRUE,Agree,0.63
locations_in_walking_dist,puma,0900100,Total,Total,TRUE,Agree,0.41
locations_in_walking_dist,puma,0900100,Total,White,TRUE,Agree,0.38
locations_in_walking_dist,puma,0900100,Total,Black,TRUE,Agree,0.43
locations_in_walking_dist,puma,0900100,Total,Latino,TRUE,Agree,0.58
locations_in_walking_dist,puma,0900100,Total,Asian,TRUE,Agree,0.39
locations_in_walking_dist,puma,0900100,Total,Native American,FALSE,Agree,0.88
locations_in_walking_dist,puma,0900100,Total,Native Hawaiian or other Pacific Islander,FALSE,Agree,0.62
locations_in_walking_dist,puma,0900101,Total,Total,TRUE,Agree,0.51
locations_in_walking_dist,puma,0900101,Total,White,TRUE,Agree,0.47
locations_in_walking_dist,puma,0900101,Total,Black,FALSE,Agree,0.49
locations_in_walking_dist,puma,0900101,Total,Latino,TRUE,Agree,0.7
locations_in_walking_dist,puma,0900101,Total,Asian,FALSE,Agree,0.68
locations_in_walking_dist,puma,0900101,Total,Native American,FALSE,Agree,0.89
locations_in_walking_dist,puma,0900101,Total,Native Hawaiian or other Pacific Islander,FALSE,Agree,0
locations_in_walking_dist,puma,0900102,Total,Total,TRUE,Agree,0.7
locations_in_walking_dist,puma,0900102,Total,White,TRUE,Agree,0.62
locations_in_walking_dist,puma,0900102,Total,Black,TRUE,Agree,0.81
locations_in_walking_dist,puma,0900102,Total,Latino,TRUE,Agree,0.85
locations_in_walking_dist,puma,0900102,Total,Asian,TRUE,Agree,0.8
locations_in_walking_dist,puma,0900102,Total,Native American,FALSE,Agree,0.76
locations_in_walking_dist,puma,0900102,Total,Native Hawaiian or other Pacific Islander,FALSE,Agree,0.75
locations_in_walking_dist,puma,0900103,Total,Total,TRUE,Agree,0.68
locations_in_walking_dist,puma,0900103,Total,White,TRUE,Agree,0.63
locations_in_walking_dist,puma,0900103,Total,Black,TRUE,Agree,0.83
locations_in_walking_dist,puma,0900103,Total,Latino,TRUE,Agree,0.81
locations_in_walking_dist,puma,0900103,Total,Asian,TRUE,Agree,0.77
locations_in_walking_dist,puma,0900103,Total,Native American,FALSE,Agree,0.67
locations_in_walking_dist,puma,0900103,Total,Native Hawaiian or other Pacific Islander,FALSE,Agree,1
locations_in_walking_dist,puma,0900105,Total,Total,TRUE,Agree,0.47
locations_in_walking_dist,puma,0900105,Total,White,TRUE,Agree,0.43
locations_in_walking_dist,puma,0900105,Total,Black,TRUE,Agree,0.67
locations_in_walking_dist,puma,0900105,Total,Latino,TRUE,Agree,0.56
locations_in_walking_dist,puma,0900105,Total,Asian,TRUE,Agree,0.65
locations_in_walking_dist,puma,0900105,Total,Native American,FALSE,Agree,0.47
