level,name,topic,var,question,mrp_estimate,raw_estimate,yes_bin,n
cog,Capitol COG,Financial security,q44,"On another topic, how well would you say you are managing financially these days? Would you say you are...",0.3538965746118157,NA,"Just getting by, Finding it difficult, Finding it very difficult",9127
cog,Capitol COG,Financial security,q62,Have there been times in the past 12 months when you did not have enough money to buy food that you or your family needed?,0.15758562473811427,NA,Yes,9154
cog,Capitol COG,Financial security,q64,"In the last 12 months, have you not had enough money to provide adequate shelter or housing for you or your family?",0.09722196312867296,NA,Yes,9145
cog,Capitol COG,Financial security,q65,"In the past 12 months, did you stay home when you needed or wanted to go someplace because you had no access to reliable transportation?",0.14275598594855737,NA,Yes,9146
cog,Capitol COG,Financial security,q9,Do you have access to a car when you need it? Would you say you have access...,0.8787250223184588,NA,Very often or Fairly often,9122
cog,Capitol COG,Neighborhood assets,q17a,"Many stores, banks, markets or places to go are within easy walking distance of my home.",0.5849014097553461,NA,Strongly agree or Somewhat agree,9088
cog,Capitol COG,Neighborhood assets,q17c,"There are places to bicycle in or near my neighborhood that are safe from traffic, such as on the street or on special lanes, separate paths or trails.",0.7346053813719564,NA,Strongly agree or Somewhat agree,8943
cog,Capitol COG,Neighborhood assets,q17e,"My neighborhood has several free or low cost recreation facilities such as parks, playgrounds, public swimming pools, etc.",0.7713543233338709,NA,Strongly agree or Somewhat agree,8665
cog,Capitol COG,Neighborhood assets,q17f,I do not feel safe to go on walks in my neighborhood at night.,0.6931225149270963,NA,Strongly disagree or Somewhat disagree,8974
cog,Capitol COG,Neighborhood assets,q17g,People in this neighborhood can be trusted.,0.8459500053665606,NA,Strongly agree or Somewhat agree,8854
cog,Capitol COG,Neighborhood assets,q6,"How would you describe your ability to influence local-government decision making? Would you say that you have great influence, moderate influence, a little influence, or no influence at all?",0.6867307526258272,NA,"Great influence, Moderate influence, or A little influence",7029
cog,Capitol COG,Personal wellbeing,q19,"The next set of questions are about your health. How would you rate your overall health, would you say your health is excellent, very good, good, fair or poor?",0.5646745882755976,NA,Excellent or Very good,9144
cog,Capitol COG,Personal wellbeing,q20,"Overall, how satisfied are you with your life nowadays?",0.6620047917993248,NA,Completely satisfied or Mostly satisfied,9125
cog,Capitol COG,Personal wellbeing,q21,"Overall, how happy did you feel yesterday?",0.6943166322640107,NA,Completely or Mostly,9097
cog,Capitol COG,Personal wellbeing,q22,"Overall, how anxious did you feel yesterday?",0.13619466189774143,NA,Completely or Mostly,9071
cog,Capitol COG,Personal wellbeing,q37_1,How often do you get the social and emotional support you need?,0.6735847020720728,NA,Always or Usually,5670
cog,Capitol COG,Quality of life,q1,Are you satisfied with the city or area where you live?,0.8477957700389623,NA,Yes,9066
cog,Capitol COG,Quality of life,q4a,How responsive local government is to the needs of residents,0.5360960059840514,NA,Excellent or Good,7766
cog,Capitol COG,Quality of life,q4d,The job done by the police to keep residents safe,0.7543349738821876,NA,Excellent or Good,8728
cog,Capitol COG,Quality of life,q4e,The ability of residents to obtain suitable employment,0.5503239786054213,NA,Excellent or Good,7690
cog,Capitol COG,Quality of life,q4f,As a place to raise children,0.7457090822410006,NA,Excellent or Good,8328
cog,Capitol COG,Quality of life,q4g,The condition of public parks and other public recreational facilities,0.7702544916566442,NA,Excellent or Good,8757
cog,Capitol COG,Quality of life,q4h,"The availability of affordable, high-quality fruits and vegetables",0.7133968253242867,NA,Excellent or Good,5891
cog,Greater Bridgeport COG,Financial security,q44,"On another topic, how well would you say you are managing financially these days? Would you say you are...",0.3970458903591684,NA,"Just getting by, Finding it difficult, Finding it very difficult",5165
cog,Greater Bridgeport COG,Financial security,q62,Have there been times in the past 12 months when you did not have enough money to buy food that you or your family needed?,0.17400608495735306,NA,Yes,5173
cog,Greater Bridgeport COG,Financial security,q64,"In the last 12 months, have you not had enough money to provide adequate shelter or housing for you or your family?",0.10775234460474317,NA,Yes,5164
cog,Greater Bridgeport COG,Financial security,q65,"In the past 12 months, did you stay home when you needed or wanted to go someplace because you had no access to reliable transportation?",0.15700447240044935,NA,Yes,5176
cog,Greater Bridgeport COG,Financial security,q9,Do you have access to a car when you need it? Would you say you have access...,0.8651037271486577,NA,Very often or Fairly often,5165
cog,Greater Bridgeport COG,Neighborhood assets,q17a,"Many stores, banks, markets or places to go are within easy walking distance of my home.",0.6439119272389987,NA,Strongly agree or Somewhat agree,5153
cog,Greater Bridgeport COG,Neighborhood assets,q17c,"There are places to bicycle in or near my neighborhood that are safe from traffic, such as on the street or on special lanes, separate paths or trails.",0.5948419088658491,NA,Strongly agree or Somewhat agree,5051
cog,Greater Bridgeport COG,Neighborhood assets,q17e,"My neighborhood has several free or low cost recreation facilities such as parks, playgrounds, public swimming pools, etc.",0.7129514150570998,NA,Strongly agree or Somewhat agree,4939
cog,Greater Bridgeport COG,Neighborhood assets,q17f,I do not feel safe to go on walks in my neighborhood at night.,0.6348499293277375,NA,Strongly disagree or Somewhat disagree,5089
cog,Greater Bridgeport COG,Neighborhood assets,q17g,People in this neighborhood can be trusted.,0.7960850202032161,NA,Strongly agree or Somewhat agree,5010
cog,Greater Bridgeport COG,Neighborhood assets,q6,"How would you describe your ability to influence local-government decision making? Would you say that you have great influence, moderate influence, a little influence, or no influence at all?",0.645992208186197,NA,"Great influence, Moderate influence, or A little influence",3954
cog,Greater Bridgeport COG,Personal wellbeing,q19,"The next set of questions are about your health. How would you rate your overall health, would you say your health is excellent, very good, good, fair or poor?",0.5540462599076865,NA,Excellent or Very good,5174
cog,Greater Bridgeport COG,Personal wellbeing,q20,"Overall, how satisfied are you with your life nowadays?",0.6404588758710189,NA,Completely satisfied or Mostly satisfied,5163
cog,Greater Bridgeport COG,Personal wellbeing,q21,"Overall, how happy did you feel yesterday?",0.6720076066995136,NA,Completely or Mostly,5146
cog,Greater Bridgeport COG,Personal wellbeing,q22,"Overall, how anxious did you feel yesterday?",0.1424737505251588,NA,Completely or Mostly,5121
cog,Greater Bridgeport COG,Personal wellbeing,q37_1,How often do you get the social and emotional support you need?,0.6452603371284603,NA,Always or Usually,3243
cog,Greater Bridgeport COG,Quality of life,q1,Are you satisfied with the city or area where you live?,0.8019977881330971,NA,Yes,5115
cog,Greater Bridgeport COG,Quality of life,q4a,How responsive local government is to the needs of residents,0.45430467221758025,NA,Excellent or Good,4446
cog,Greater Bridgeport COG,Quality of life,q4d,The job done by the police to keep residents safe,0.6788136580914009,NA,Excellent or Good,4945
cog,Greater Bridgeport COG,Quality of life,q4e,The ability of residents to obtain suitable employment,0.4629995420844968,NA,Excellent or Good,4345
cog,Greater Bridgeport COG,Quality of life,q4f,As a place to raise children,0.6127403608616345,NA,Excellent or Good,4774
cog,Greater Bridgeport COG,Quality of life,q4g,The condition of public parks and other public recreational facilities,0.7246759033979993,NA,Excellent or Good,4908
cog,Greater Bridgeport COG,Quality of life,q4h,"The availability of affordable, high-quality fruits and vegetables",0.6373071633931359,NA,Excellent or Good,3432
cog,Lower Connecticut River Valley COG,Financial security,q44,"On another topic, how well would you say you are managing financially these days? Would you say you are...",0.3247834775642309,NA,"Just getting by, Finding it difficult, Finding it very difficult",1589
cog,Lower Connecticut River Valley COG,Financial security,q62,Have there been times in the past 12 months when you did not have enough money to buy food that you or your family needed?,0.12309744254385128,NA,Yes,1594
cog,Lower Connecticut River Valley COG,Financial security,q64,"In the last 12 months, have you not had enough money to provide adequate shelter or housing for you or your family?",0.07924826396345229,NA,Yes,1591
