level,name,topic,var,question,mrp_estimate,raw_estimate,yes_bin,n
cog,Capitol COG,Financial Security,q44,How well would you say you are managing financially these days? Would you say you are,0.6777164449281052,0.6775648639912591,Living comfortably or doing alright,7798
cog,Capitol COG,Financial Security,q62,Have there been times in the past 12 months when you did not have enough money to buy food that you or your family needed?,0.14092621840965322,0.14248846344284852,Yes,7813
cog,Capitol COG,Financial Security,q64,"In the last 12 months, have you not had enough money to provide adequate shelter or housing for you or your family?",0.08043258580069515,0.07805411887037868,Yes,7806
cog,Capitol COG,Financial Security,q65,"In the past 12 months, did you stay home when you needed or wanted to go someplace because you had no access to reliable transportation?",0.135675843622031,0.1366898211333531,Yes,7808
cog,Capitol COG,Financial Security,q9,Do you have access to a car when you need it? Would you say you have access,0.8785641107162309,0.8783968637518563,Very often or fairly often,7793
cog,Capitol COG,Neighborhood Assets,q17a,"Many stores, banks, markets or places to go are within easy walking distance of my home.",0.581461719404287,0.5835026359489636,Strongly or Somewhat agree,7756
cog,Capitol COG,Neighborhood Assets,q17c,"There are places to bicycle in or near my neighborhood that are safe from traffic, such as on the street or on special lanes, separate paths or trails.",0.7317973332951665,0.7357741895102291,Strongly or Somewhat agree,7632
cog,Capitol COG,Neighborhood Assets,q17e,"My neighborhood has several free or low cost recreation facilities such as parks, playgrounds, public swimming pools, etc.",0.7694673706936029,0.7710724704966065,Strongly or Somewhat agree,7366
cog,Capitol COG,Neighborhood Assets,q17f,I do not feel safe to go on walks in my neighborhood at night.,0.29160772609793423,0.2866603303451746,Strongly or Somewhat agree,7659
cog,Capitol COG,Neighborhood Assets,q17g,People in this neighborhood can be trusted.,0.8528613961073501,0.8538427695025825,Strongly or Somewhat agree,7574
cog,Capitol COG,Neighborhood Assets,q17h,Children and youth in my town generally have the positive role models they need around here.,0.7825886748614754,0.7848248951878497,Strongly or Somewhat agree,5375
