level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020,Satisfied with area_2015-2021,Area is good to raise kids_2015-2021,Local youth have positive role models_2015-2021,Local government is responsive_2015-2021,Have some influence over local government_2015-2021,Feel safe walking at night_2015-2021,Trust neighbors_2015-2021,Food insecure in past year_2015-2021,No bank account_2015-2021,Just getting by financially_2015-2021,"Stores, banks, etc. are in walking distance_2015-2021",Safe sidewalks in area_2015-2021,Safe places to bike in area_2015-2021,Local recreational facilities available_2015-2021
state,Connecticut,3611317,742877,0.21,2868440,0.79,629108,0.17,2308644,0.64,355970,0.1,627408,0.17,319295,0.09,542964,0.15,1409807,932588,0.66,480042,0.35,3507563,355692,0.1,786615,0.22,733553,98183,0.13,210923,0.29,609617,48446,0.08,132552,0.22,80.3,0.052,0.111,0.094,0.297,0.248,0.112,0.754,0.704,0.08,0.139,0.336,0.84,0.75,0.77,0.53,0.67,0.7,0.85,0.14,0.1,0.33,0.55,0.6,0.63,0.72
cog,Capitol COG,977165,200946,0.21,776219,0.79,167285,0.17,593343,0.61,114765,0.12,174513,0.18,94544,0.1,143765,0.15,386549,252141,0.65,123029,0.33,942162,101370,0.11,214596,0.23,198566,27821,0.14,57625,0.29,161750,14105,0.09,36835,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cog,Greater Bridgeport COG,326381,71713,0.22,254668,0.78,51824,0.16,193916,0.59,35413,0.11,66469,0.2,30583,0.09,68425,0.21,117497,77956,0.66,47858,0.42,316788,42156,0.13,84512,0.27,70986,12586,0.18,24041,0.34,50636,5055,0.1,12428,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cog,Lower Connecticut River Valley COG,175244,30301,0.17,144943,0.83,36544,0.21,142415,0.81,7795,0.04,12296,0.07,12738,0.07,13977,0.08,73084,54922,0.75,21759,0.3,168957,10964,0.06,27482,0.16,29891,1952,0.07,5436,0.18,35167,2223,0.06,6515,0.19,81.1,0.054,0.109,0.089,0.295,0.231,0.104,0.782,0.742,0.054,0.129,0.304,0.88,0.85,0.87,0.59,0.68,0.77,0.91,0.1,0.04,0.29,0.46,0.48,0.62,0.68
cog,Naugatuck Valley COG,451887,93594,0.21,358293,0.79,80450,0.18,277686,0.61,47360,0.1,86177,0.19,40664,0.09,60490,0.13,177656,119006,0.67,59777,0.35,445259,45555,0.1,103697,0.23,92030,12609,0.14,26619,0.29,77974,6421,0.08,18330,0.24,79.4,0.056,0.112,0.099,0.31,0.263,0.122,0.75,0.692,0.084,0.158,0.35,0.79,0.68,0.73,0.49,0.63,0.67,0.83,0.15,0.11,0.36,0.52,0.54,0.54,0.69
cog,Northeastern Connecticut COG,95687,19152,0.2,76535,0.8,16375,0.17,77810,0.81,1363,0.01,11315,0.12,5199,0.05,4472,0.05,38574,28696,0.74,11124,0.3,94421,8356,0.09,20934,0.22,19028,2232,0.12,5747,0.3,15841,1138,0.07,3651,0.23,79.7,0.054,0.113,0.096,0.309,0.269,0.124,0.747,0.707,0.065,0.167,0.34,0.84,0.81,0.78,0.52,0.67,0.69,0.85,0.16,0.07,0.36,0.33,0.37,0.55,0.59
cog,Northwest Hills COG,112696,21501,0.19,91195,0.81,23033,0.2,87840,0.78,4939,0.04,12232,0.11,7685,0.07,10729,0.1,45976,34234,0.74,13699,0.31,110869,10462,0.09,23104,0.21,20864,2620,0.13,5607,0.27,22302,1435,0.06,4116,0.18,80.3,0.059,0.104,0.092,0.303,0.245,0.116,0.752,0.715,0.06,0.134,0.323,0.85,0.79,0.8,0.59,0.72,0.7,0.87,0.14,0.1,0.35,0.39,0.37,0.63,0.65
cog,South Central Connecticut COG,571298,113362,0.2,457936,0.8,99975,0.17,350326,0.61,70625,0.12,107644,0.19,42703,0.07,74199,0.13,226154,137967,0.61,81322,0.37,548511,64563,0.12,136599,0.25,112180,18619,0.17,37769,0.34,96682,8092,0.08,22330,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cog,Southeastern Connecticut COG,280293,54146,0.19,226147,0.81,52957,0.19,209147,0.75,14246,0.05,31878,0.11,25022,0.09,23079,0.08,113810,75262,0.66,35971,0.32,267571,26614,0.1,63895,0.24,53490,7200,0.13,16552,0.31,51122,3079,0.06,10632,0.21,79.4,0.053,0.114,0.096,0.286,0.261,0.11,0.765,0.706,0.079,0.156,0.344,0.82,0.75,0.76,0.48,0.66,0.72,0.85,0.14,0.08,0.33,0.47,0.56,0.59,0.64
cog,Western Connecticut COG,620666,138162,0.22,482504,0.78,100665,0.16,376161,0.61,59464,0.1,124884,0.2,60157,0.1,143828,0.23,230507,152404,0.66,85503,0.38,613025,45652,0.07,111796,0.18,136518,12544,0.09,31527,0.23,98143,6898,0.07,17715,0.18,82.6,0.046,0.1,0.075,0.257,0.195,0.09,0.728,0.741,0.073,0.109,0.304,0.89,0.84,0.85,0.61,0.7,0.74,0.9,0.09,0.07,0.27,0.55,0.55,0.57,0.71
